#pfb,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
1,"(-0.5246313898711126, 0.2852521874184511)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
2,"(-0.7349931063856169, 0.037770210348283775)","(-0.8044489089669069, 0.005015258950407629)","(None, None)","(-0.13944333775567924, 0.7655684154406969)","(-0.49803920813282704, 0.2091046769187784)","(None, None)","(None, None)"
3,"(None, None)","(-0.832967032967033, 0.00021655091041646997)","(-0.4685800094195255, 0.12441047106886344)","(-0.5066091584587634, 0.06450219258073482)","(-0.4356438279737521, 0.11946183819633881)","(-0.27272727272727276, 0.41714143714253127)","(None, None)"
4,"(None, None)","(0.19999999999999998, 0.747060078104662)","(-0.7582417582417583, 0.0026660786121372876)","(-0.14285714285714288, 0.7871720116618075)","(-0.7714285714285715, 0.07239650145772594)","(-0.4210526315789473, 0.057326260349644866)","(None, None)"
5,"(None, None)","(0.0, 1.0)","(-0.6000000000000001, 0.3999999999999999)","(0.0, 1.0)","(-0.8660254037844387, 0.3333333333333332)","(-0.5947136563876653, 0.024883434596467503)","(None, None)"
6,"(None, None)","(None, None)","(0.0, 1.0)","(None, None)","(None, None)","(-0.7999999999999999, 0.20000000000000007)","(-0.2937062937062937, 0.35414764123292175)"
7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.41818181818181815, 0.22911284098281892)"
8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.4138648783204378, 0.0038302950036594226)"
9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.3207792207792208, 0.15625650175659503)"
10,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.7592741935483871, 7.349145861587597e-07)"
