"plast","plast_2","JSD","pos_cycle","network"
0.1851,0.2671,0.0311777909518852,2,"GRHL2"
0.461,0.5759,0.00342678466085327,3,"GRHL2"
0.4921,0.5984,0.00420877854045282,3,"GRHL2"
0.1825,0.2621,0.531262406156198,2,"GRHL2"
0.1153,0.1816,0.0543393553640392,2,"GRHL2"
0.0663,0.2868,0.250214253416568,2,"GRHL2"
0.1984,0.3244,0.0483200394917949,2,"GRHL2"
0.2978,0.3738,0.0035083882686337,2,"GRHL2"
0.5193,0.6317,0.00141878275006832,3,"GRHL2"
0.5465,0.5914,0.0105704193187068,3,"GRHL2"
0.2581,0.3344,0.187578480377314,2,"GRHL2"
0.2454,0.3272,0.00582446855640062,2,"GRHL2"
0.1489,0.3509,0.540616624091629,2,"GRHL2"
0.318,0.4389,0.00434853343639421,2,"GRHL2"
0.4891,0.6877,0.0116596983740477,4,"GRHL2"
0.3746,0.4631,0.0352419460215745,3,"GRHL2"
0.2503,0.4262,0.0296288585252571,3,"GRHL2"
0.6312,0.6802,0.0102889954652531,5,"GRHL2"
0.5541,0.6045,0.00921249419756642,4,"GRHL2"
0.2503,0.4465,0.0444910902937958,3,"GRHL2"
0.4317,0.5472,0.0291395872567627,3,"GRHL2"
0.3858,0.4704,0.00484791994813167,3,"GRHL2"
0.4765,0.6009,0.00402211335479135,4,"GRHL2"
0.4615,0.5723,0.000239071549683931,3,"GRHL2"
0.7684,0.8033,0.0173583447728854,5,"GRHL2"
0.1856,0.3766,0.0582871801170834,3,"GRHL2"
0.4635,0.5555,0.00916459247314107,4,"GRHL2"
0.3553,0.4794,0.121075132870792,3,"GRHL2"
0.2913,0.4617,0.0175404845712632,3,"GRHL2"
0.6614,0.7198,0.00563109295660427,5,"GRHL2"
0.5389,0.6364,0.00207905133635217,4,"GRHL2"
0.3456,0.4923,0.0275984390342389,3,"GRHL2"
0.4379,0.5434,0,3,"GRHL2"
0.1225,0.5184,0.231233709876925,3,"GRHL2act"
0.3152,0.56,0.0328893554040583,3,"GRHL2act"
0.2146,0.4548,0.0302003275195263,3,"GRHL2act"
0.1913,0.4218,0.0623767923663089,3,"GRHL2act"
0.2185,0.4357,0.236397850941347,3,"GRHL2act"
0.5624,0.7377,0.00422105379679984,4,"GRHL2act"
0.5192,0.7126,0.00333512010231705,4,"GRHL2act"
0.3712,0.4657,0.0161375604132797,3,"GRHL2act"
0.2063,0.5548,0.384437551493073,3,"GRHL2act"
0.4274,0.6458,0.00435800032478932,3,"GRHL2act"
0.3378,0.5439,0.00292891428575424,3,"GRHL2act"
0.2978,0.5047,0.00658847144283926,3,"GRHL2act"
0.3305,0.5435,0.0603783316099369,3,"GRHL2act"
0.6328,0.7295,0.00688561187500611,4,"GRHL2act"
0.5663,0.7537,0.000875905223626642,4,"GRHL2act"
0.4364,0.551,0.0102742149885729,3,"GRHL2act"
0.2738,0.5621,0.0478609809245356,4,"GRHL2act"
0.7395,0.8054,0.0178374948723832,6,"GRHL2act"
0.6811,0.7551,0.0186019335797875,5,"GRHL2act"
0.2788,0.5963,0.0595202392154483,4,"GRHL2act"
0.4895,0.677,0.0110246848142459,4,"GRHL2act"
0.4364,0.5801,0.000997466123235896,4,"GRHL2act"
0.4972,0.7154,0.00280426328441721,5,"GRHL2act"
0.5158,0.701,0.000107362710292373,4,"GRHL2act"
0.7877,0.8633,0.0145657593455695,6,"GRHL2act"
0.2435,0.5707,0.0440354170752333,4,"GRHL2act"
0.4977,0.6317,0.0111008585245287,5,"GRHL2act"
0.3972,0.6146,0.0538413401053292,4,"GRHL2act"
0.3715,0.6459,0.0129510435513117,4,"GRHL2act"
0.7012,0.8094,0.00440108075841575,6,"GRHL2act"
0.6028,0.7623,0.00381745729105211,5,"GRHL2act"
0.4174,0.6572,0.0266381405031197,4,"GRHL2act"
0.4931,0.69,0,4,"GRHL2act"
