"pos_cycle","GRHL2","GRHL2act","NRF2","OCT4","OVOL","OVOLinh","TGFb"
2,-0.406060606060606,NA,NA,NA,-0.0714285714285714,-0.19047619047619,NA
3,-0.696428571428571,-0.293706293706294,NA,0.1,-0.432142857142857,-0.446428571428571,NA
4,0.3,-0.635164835164835,NA,-0.581756589140301,0.357142857142857,-0.178571428571429,NA
5,0.5,0,NA,-0.336633867070627,1,1,NA
6,NA,-0.5,0.041958041958042,0.6,NA,NA,NA
7,NA,NA,0.0787878787878788,NA,NA,NA,NA
8,NA,NA,-0.369582327055529,NA,NA,NA,NA
9,NA,NA,-0.225974025974026,NA,NA,NA,-0.362833437031641
10,NA,NA,0.21491935483871,NA,NA,NA,0.44256775835547
11,NA,NA,-0.6,NA,NA,NA,0.23248826479584
12,NA,NA,NA,NA,NA,NA,0.2
