"States","Method","Frequency"
"""011""","RACIPE",0.304041507936508
"""100""","RACIPE",0.322404444444445
"""001""","RACIPE",0.13453611111111
"""111""","RACIPE",0.0267083333333335
"""110""","RACIPE",0.134589999999997
"""010""","RACIPE",0.0350690476190477
"""000""","RACIPE",0.0194566666666667
"""101""","RACIPE",0.0231938888888888
"""011""","Boolean",0.2679
"""100""","Boolean",0.2706
"""001""","Boolean",0.2256
"""111""","Boolean",0
"""110""","Boolean",0.2359
"""010""","Boolean",0
"""000""","Boolean",0
"""101""","Boolean",0
