"States","Method","Frequency"
"""10""","RACIPE",0.457716666666664
"""01""","RACIPE",0.412666666666664
"""00""","RACIPE",0.0603666666666667
"""11""","RACIPE",0.0692500000000002
"""10""","Boolean",0.5047
"""01""","Boolean",0.4953
"""00""","Boolean",0
"""11""","Boolean",0
