Boolean,JSD,heatmap,data
 ,SNAIL-ZEB_1-0,SNAIL-ZEB_1-2,WT,miR200-ZEB_2-0,miR200-ZEB_2-1,ZEB-ZEB_1-0,SNAIL-miR200_2-0,ZEB-ZEB_1-2,ZEB-miR200_2-0,ZEB-miR200_2-1,SNAIL-miR200_2-1,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,miR200-miR200_0-1,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2
SNAIL-ZEB_1-0,0.0,4.5107715500315964e-05,0.13635508116645312,6.368211805556861e-05,0.00010778451412691821,0.1363447439841266,0.136402986137389,0.13636066363928395,0.13633878455712128,3.881093399302443e-05,7.322736369175687e-05,0.13634515517774043,0.13633946142147918,0.00014353461475664003,0.13637326867587465,0.13634209558356275,0.1363390649501673,0.1363430923376615
SNAIL-ZEB_1-2,4.510771550031629e-05,0.0,0.1362599654195522,0.00015441768958398324,5.526547384259394e-05,0.13616777563128293,0.1363560286687014,0.1362732526041039,0.13620322209596109,8.712932797868974e-05,0.00018022004520754792,0.13616722392759228,0.13617982542074877,0.00015643191181609123,0.13630030456542888,0.13622097785387532,0.13620542842393496,0.13622486361866815
WT,0.1363550811664531,0.1362599654195522,0.0,0.13890878146467156,0.13479983945853347,5.211802816821329e-05,1.8037503486808496e-05,4.617104986746998e-07,1.2724951759015765e-05,0.14009406293187532,0.13915870328103092,5.3351554417010224e-05,3.2381768535127194e-05,0.14253518777444746,3.8164541843319815e-06,5.258865885251259e-06,1.1541927671941763e-05,4.155169310724989e-06
miR200-ZEB_2-0,6.368211805556861e-05,0.00015441768958398346,0.13890878146467156,0.0,0.00015463706505756004,0.1389826134435234,0.13890703631385465,0.1389064269652863,0.13893411075359366,7.457208275606303e-05,1.651384575637857e-06,0.13898401314410674,0.1389595310203366,6.924447897003718e-05,0.1389041429835047,0.13892256365892322,0.13893241059030947,0.1389205876915952
miR200-ZEB_2-1,0.00010778451412691778,5.526547384259372e-05,0.13479983945853347,0.00015463706505756004,0.0,0.13475456779926162,0.1348683771138704,0.13480871897376234,0.13476625919946217,0.00020272128738454964,0.00018700522837274353,0.13475456903555727,0.13475666854970586,0.00017520993976517492,0.134827510247351,0.13477573800317094,0.13476736164658087,0.13477796897104766
ZEB-ZEB_1-0,0.1363447439841266,0.13616777563128293,5.211802816821329e-05,0.1389826134435234,0.13475456779926162,0.0,0.00013147415646998922,6.239042673808481e-05,1.3337902007706792e-05,0.14007038738800726,0.13924518318907111,7.213902928777916e-09,2.337245853434116e-06,0.14253681855979095,8.414047218530379e-05,2.426634526689125e-05,1.4607476969217409e-05,2.6841568094548938e-05
SNAIL-miR200_2-0,0.136402986137389,0.1363560286687014,1.8037503486808496e-05,0.13890703631385465,0.1348683771138704,0.00013147415646998922,0.0,1.2727548287091864e-05,6.106206878585957e-05,0.14014962028453995,0.13914950416338373,0.0001334290398379975,9.875337082556127e-05,0.1425757302313288,5.260096810478891e-06,4.277497287863245e-05,5.843625886745507e-05,3.950704001326206e-05
ZEB-ZEB_1-2,0.13636066363928395,0.1362732526041039,4.617104986746998e-07,0.1389064269652863,0.13480871897376234,6.239042673808481e-05,1.2727548287091864e-05,0.0,1.803441240468299e-05,0.1401008794078111,0.139155156864687,6.373936877670247e-05,4.057667551936447e-05,0.14253960832074225,1.623286168538486e-06,8.837022254391726e-06,1.6620549598034794e-05,7.387060648388413e-06
ZEB-miR200_2-0,0.13633878455712128,0.13620322209596109,1.2724951759015765e-05,0.13893411075359366,0.13476625919946217,1.3337902007706792e-05,6.106206878585957e-05,1.803441240468299e-05,0.0,0.1400712275428238,0.13919028577454048,1.3965494501163873e-05,4.508436843098226e-06,0.1425248909370181,3.0478861847274552e-05,1.623042673593359e-06,2.885394272009135e-08,2.33718555185539e-06
ZEB-miR200_2-1,3.881093399302465e-05,8.712932797868937e-05,0.14009406293187532,7.457208275606303e-05,0.00020272128738454964,0.14007038738800726,0.14014962028453995,0.1401008794078111,0.1400712275428238,0.0,7.848981273396449e-05,0.14007063918375703,0.14006796412463174,8.666650396352911e-05,0.14011578831451263,0.14007688547939723,0.14007182160464587,0.14007835006376454
SNAIL-miR200_2-1,7.322736369175698e-05,0.00018022004520754835,0.13915870328103092,1.6513845756379653e-06,0.00018700522837274282,0.13924518318907111,0.13914950416338373,0.139155156864687,0.13919028577454048,7.848981273396428e-05,0.0,0.13924673151797118,0.13921942479166227,8.088834745256313e-05,0.139150637307752,0.1391765062240104,0.13918828800317626,0.13917408365549044
SNAIL-SNAIL_0-1,0.13634515517774043,0.13616722392759228,5.3351554417010224e-05,0.13898401314410674,0.13475456903555727,7.213902928777916e-09,0.0001334290398379975,6.373936877670247e-05,1.3965494501163873e-05,0.14007063918375703,0.13924673151797118,0.0,2.6041567665957078e-06,0.14253736645113016,8.57058197674676e-05,2.5110343520102617e-05,1.5263923668424684e-05,2.7728847324629165e-05
SNAIL-ZEB_0-1,0.13633946142147918,0.13617982542074877,3.2381768535127194e-05,0.1389595310203366,0.13475666854970586,2.337245853434116e-06,9.875337082556127e-05,4.057667551936447e-05,4.508436843098226e-06,0.14006796412463174,0.13921942479166227,2.6041567665957078e-06,0.0,0.1425290591395929,5.843139885877962e-05,1.154159110480302e-05,5.258638700359592e-06,1.3337757956053157e-05
SNAIL-ZEB_0-2,0.0001435346147566404,0.00015643191181609166,0.14253518777444746,6.924447897003723e-05,0.0001752099397651747,0.14253681855979095,0.1425757302313288,0.14253960832074225,0.1425248909370181,8.66665039635289e-05,8.08883474525627e-05,0.14253736645113016,0.1425290591395929,0.0,0.14255001824526162,0.1425260785302775,0.14252488944671698,0.14252664801957332
miR200-miR200_0-1,0.13637326867587465,0.13630030456542888,3.8164541843319815e-06,0.1389041429835047,0.134827510247351,8.414047218530379e-05,5.260096810478891e-06,1.623286168538486e-06,3.0478861847274552e-05,0.14011578831451263,0.139150637307752,8.57058197674676e-05,5.843139885877962e-05,0.14255001824526162,0.0,1.8035224035935432e-05,2.8632170136291563e-05,1.5936003723235944e-05
miR200-miR200_0-2,0.13634209558356275,0.13622097785387532,5.258865885251259e-06,0.13892256365892322,0.13477573800317094,2.426634526689125e-05,4.277497287863245e-05,8.837022254391726e-06,1.623042673593359e-06,0.14007688547939723,0.1391765062240104,2.5110343520102617e-05,1.154159110480302e-05,0.1425260785302775,1.8035224035935432e-05,0.0,1.2190865401187157e-06,6.492247819027538e-08
miR200-SNAIL_0-1,0.1363390649501673,0.13620542842393493,1.1541927671941763e-05,0.13893241059030947,0.13476736164658087,1.4607476969217409e-05,5.843625886745507e-05,1.6620549598034794e-05,2.885394272009135e-08,0.14007182160464587,0.13918828800317629,1.5263923668424684e-05,5.258638700359592e-06,0.14252488944671698,2.8632170136291563e-05,1.2190865401187157e-06,0.0,1.8466670602415797e-06
