Boolean,JSD,heatmap,data
 ,SNAIL-ZEB_1-0,SNAIL-ZEB_1-2,WT,miR200-ZEB_2-0,miR200-ZEB_2-1,ZEB-ZEB_1-0,SNAIL-miR200_2-0,ZEB-ZEB_1-2,ZEB-miR200_2-0,ZEB-miR200_2-1,SNAIL-miR200_2-1,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,miR200-miR200_0-1,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2
miR200-SNAIL_0-2,0.13634309233766154,0.13622486361866817,4.155169310724989e-06,0.1389205876915952,0.13477796897104766,2.6841568094548938e-05,3.950704001326206e-05,7.387060648388413e-06,2.33718555185539e-06,0.14007835006376454,0.13917408365549044,2.7728847324629165e-05,1.3337757956053157e-05,0.14252664801957332,1.5936003723235944e-05,6.492247819027538e-08,1.8466670602415797e-06,0.0

RACIPE,JSD,heatmap,data
 ,SNAIL-ZEB_1-0,SNAIL-ZEB_1-2,WT,miR200-ZEB_2-0,miR200-ZEB_2-1,ZEB-ZEB_1-0,SNAIL-miR200_2-0,ZEB-ZEB_1-2,ZEB-miR200_2-0,ZEB-miR200_2-1,SNAIL-miR200_2-1,SNAIL-SNAIL_0-1,SNAIL-ZEB_0-1,SNAIL-ZEB_0-2,miR200-miR200_0-1,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2
SNAIL-ZEB_1-0,0.0,0.003155273753118233,0.0012155293231496172,0.007675250945583406,0.04661476913740962,0.0004923274627191108,0.00587888780789258,0.022693744091899008,0.045904538448647184,0.14007667161034773,0.0032999151581268663,0.004940839267272202,0.0033994497929477306,0.0010543228373780644,0.004807552338875738,0.019518901581754435,0.012309099699232558,0.011766607676370094
SNAIL-ZEB_1-2,0.0031552737531182345,0.0,0.008082374391960417,0.008673030482045794,0.03023922844200959,0.0028032084015860576,0.017116088642805647,0.01348589712288324,0.034840787910456805,0.11158345109499639,0.0006359466001841338,0.014982166443298486,0.012548051673112756,0.0006344748630750657,0.01497858730605545,0.014719142102664211,0.004619600172298217,0.026088005761164147
WT,0.001215529323149617,0.008082374391960414,0.0,0.008929443146792039,0.057978008791471844,0.0021077642853647082,0.0022001066189269065,0.030233689229921264,0.054073791503372756,0.1574958508706728,0.00784579937680647,0.00249651411203185,0.000756306847891389,0.004351869594152702,0.0016582748063809064,0.02441012030806367,0.019901452096074555,0.0064512555305074725
miR200-ZEB_2-0,0.007675250945583406,0.008673030482045796,0.008929443146792039,0.0,0.02763219094027211,0.004960184644648431,0.01880890453825907,0.009859786559923624,0.02225867467778318,0.10181607775844445,0.005614563238628573,0.016983123446006818,0.01365843691087449,0.006602662617905998,0.01166237283028429,0.005562331289590406,0.010592729475468757,0.028319564026364562
miR200-ZEB_2-1,0.046614769137409626,0.03023922844200959,0.05797800879147184,0.027632190940272104,0.0,0.03957736025543633,0.08120444814087142,0.0049612374429750215,0.004686780741654351,0.027167915676871535,0.026092684113210432,0.07245807403189139,0.07055183654633893,0.03516522692034884,0.06672952913668823,0.011195864277023505,0.013612491596298213,0.09893556504279452
ZEB-ZEB_1-0,0.0004923274627191107,0.0028032084015860576,0.002107764285364707,0.004960184644648431,0.03957736025543633,0.0,0.008292809992035782,0.017434648923596474,0.03770839127513784,0.12758688761811995,0.0019781514761719925,0.0060833650661787746,0.005299639002058537,0.0008040629642730411,0.005189768474693867,0.014121139345565888,0.009203090968148146,0.014974445542106451
SNAIL-miR200_2-0,0.005878887807892581,0.017116088642805644,0.0022001066189269065,0.01880890453825907,0.08120444814087144,0.008292809992035782,0.0,0.04790712171901662,0.07574841579971367,0.19222956259410667,0.017634844429328243,0.0019464059406104962,0.0005776905836371569,0.011805544860735212,0.0021814759636976256,0.03989688499810703,0.03398769919639603,0.0012101407480958298
ZEB-ZEB_1-2,0.022693744091899008,0.013485897122883244,0.03023368922992126,0.009859786559923624,0.00496123744297502,0.01743464892359647,0.047907121719016614,0.0,0.00540029536548586,0.05301003013334006,0.009751001594541469,0.04099187094885462,0.0398138182492199,0.015513788562125999,0.03625425197438277,0.0018828020305262962,0.004131427699286412,0.06198112165149685
ZEB-miR200_2-0,0.045904538448647184,0.034840787910456805,0.054073791503372756,0.022258674677783176,0.004686780741654351,0.03770839127513785,0.0757484157997137,0.0054002953654858615,0.0,0.0327474521917223,0.02803150948507194,0.06557262276859843,0.06630215756708925,0.03687542634634176,0.058202701431026724,0.006115999990700267,0.017399576392561192,0.09179493096895425
ZEB-miR200_2-1,0.14007667161034773,0.11158345109499637,0.15749585087067283,0.10181607775844445,0.027167915676871535,0.12758688761811998,0.19222956259410665,0.05301003013334007,0.032747452191722315,0.0,0.10378249964666203,0.1773239699735686,0.17688267079389997,0.12071911730459566,0.1678981364834765,0.0643945194221203,0.07597891684259783,0.2166593335917672
SNAIL-miR200_2-1,0.0032999151581268654,0.0006359466001841334,0.00784579937680647,0.005614563238628571,0.026092684113210435,0.001978151476171992,0.017634844429328243,0.00975100159454147,0.028031509485071944,0.10378249964666203,0.0,0.0142005258509245,0.012980670344398959,0.0007440757528917293,0.013328078979546985,0.009771645850358574,0.0030151787275144015,0.02678439058874382
SNAIL-SNAIL_0-1,0.004940839267272203,0.01498216644329849,0.00249651411203185,0.01698312344600681,0.07245807403189139,0.006083365066178776,0.0019464059406104962,0.04099187094885462,0.06557262276859842,0.17732396997356856,0.014200525850924496,0.0,0.002622643042141606,0.009863314009113753,0.0011180718090926418,0.03296410993131037,0.027201404012426593,0.003367012110575735
SNAIL-ZEB_0-1,0.0033994497929477323,0.012548051673112761,0.000756306847891389,0.013658436910874493,0.07055183654633893,0.0052996390020585375,0.0005776905836371569,0.03981381824921991,0.06630215756708924,0.17688267079389997,0.01298067034439896,0.002622643042141606,0.0,0.008050611783922142,0.002024836609833089,0.03299954474739241,0.02785184611178081,0.0034383385502669813
SNAIL-ZEB_0-2,0.0010543228373780644,0.0006344748630750675,0.004351869594152702,0.0066026626179059985,0.03516522692034883,0.000804062964273042,0.011805544860735213,0.015513788562125999,0.03687542634634176,0.12071911730459566,0.0007440757528917293,0.009863314009113753,0.008050611783922142,0.0,0.00955858001536411,0.014605388800779318,0.006595101794983967,0.01959161680307355
miR200-miR200_0-1,0.004807552338875736,0.01497858730605545,0.001658274806380906,0.01166237283028429,0.06672952913668823,0.005189768474693865,0.0021814759636976265,0.03625425197438277,0.058202701431026724,0.1678981364834765,0.013328078979546985,0.0011180718090926423,0.002024836609833089,0.009558580015364106,0.0,0.027446101458170686,0.02627528772936024,0.00461409471728219
miR200-miR200_0-2,0.01951890158175443,0.014719142102664211,0.02441012030806367,0.005562331289590404,0.011195864277023498,0.014121139345565888,0.039896884998107035,0.0018828020305262962,0.006115999990700267,0.0643945194221203,0.00977164585035858,0.03296410993131037,0.032999544747392404,0.014605388800779317,0.02744610145817069,0.0,0.006801966614794633,0.052235485018831046
miR200-SNAIL_0-1,0.012309099699232558,0.004619600172298217,0.019901452096074555,0.010592729475468757,0.013612491596298217,0.009203090968148146,0.033987699196396035,0.004131427699286412,0.017399576392561192,0.07597891684259783,0.0030151787275144015,0.027201404012426596,0.027851846111780813,0.006595101794983967,0.02627528772936024,0.006801966614794637,0.0,0.04546226344795857
miR200-SNAIL_0-2,0.011766607676370094,0.026088005761164153,0.0064512555305074725,0.02831956402636457,0.09893556504279453,0.014974445542106455,0.0012101407480958298,0.06198112165149684,0.09179493096895422,0.21665933359176714,0.026784390588743823,0.003367012110575735,0.0034383385502669813,0.01959161680307355,0.00461409471728219,0.05223548501883105,0.04546226344795857,0.0
